opp_id,segment,lead_source,owner,amount,created_date,close_date,cycle_days,furthest_stage,furthest_stage_idx,outcome,loss_reason
OPP-00001,SMB,Outbound,Rep E,4166.69,2026-05-25,2026-06-12,18.0,Proposal,2,Lost,Price
OPP-00002,Mid-Market,Outbound,Rep C,16705.96,2026-06-21,2026-07-25,34.0,Qualification,1,Lost,Competitor
OPP-00003,SMB,Inbound,Rep F,6212.47,2026-01-03,2026-01-17,14.0,Qualification,1,Lost,Price
OPP-00004,SMB,Inbound,Rep F,3975.89,2026-05-23,2026-06-15,23.0,Negotiation,3,Won,
OPP-00005,Mid-Market,Partner,Rep G,19530.82,2025-11-04,2026-01-01,58.0,Negotiation,3,Won,
OPP-00006,Mid-Market,Outbound,Rep D,7799.91,2026-01-30,2026-03-11,40.0,Negotiation,3,Won,
OPP-00007,SMB,Outbound,Rep F,500.0,2026-04-03,2026-04-18,15.0,Qualification,1,Lost,Price
OPP-00008,SMB,Inbound,Rep D,2713.04,2025-12-09,,,Negotiation,3,Open,
OPP-00009,SMB,Outbound,Rep C,2359.12,2026-04-08,2026-04-27,19.0,Qualification,1,Lost,Price
OPP-00010,SMB,Partner,Rep F,2295.9,2025-11-13,2025-12-01,18.0,Qualification,1,Lost,Price
OPP-00011,Mid-Market,Inbound,Rep D,7870.21,2026-06-27,2026-07-22,25.0,Qualification,1,Lost,No Decision
OPP-00012,Mid-Market,Partner,Rep G,16561.94,2026-06-06,2026-07-06,30.0,Negotiation,3,Won,
OPP-00013,SMB,Outbound,Rep D,2108.78,2026-05-15,2026-05-21,6.0,Proposal,2,Lost,Competitor
OPP-00014,Mid-Market,Inbound,Rep G,19539.98,2025-12-19,,,Qualification,1,Open,
OPP-00015,SMB,Outbound,Rep G,1610.14,2026-01-09,2026-01-23,14.0,Negotiation,3,Won,
OPP-00016,Enterprise,Outbound,Rep B,95972.98,2025-12-30,2026-04-29,120.0,Proposal,2,Lost,No Budget
OPP-00017,SMB,Inbound,Rep E,2081.85,2026-05-27,2026-06-12,16.0,Negotiation,3,Won,
OPP-00018,Mid-Market,Inbound,Rep E,14595.84,2026-04-08,2026-05-22,44.0,Negotiation,3,Won,
OPP-00019,Enterprise,Inbound,Rep B,59617.09,2026-01-30,2026-07-07,158.0,Negotiation,3,Lost,Competitor
OPP-00020,Mid-Market,Inbound,Rep A,13416.49,2025-10-12,2025-12-02,51.0,Negotiation,3,Lost,No Budget
OPP-00021,Enterprise,Event,Rep A,130710.06,2026-02-12,2026-05-24,101.0,Negotiation,3,Won,
OPP-00022,Mid-Market,Inbound,Rep E,9428.72,2025-11-04,2025-11-28,24.0,Negotiation,3,Won,
OPP-00023,SMB,Outbound,Rep F,5108.07,2026-05-18,2026-05-28,10.0,Prospecting,0,Lost,Price
OPP-00024,SMB,Inbound,Rep G,3965.91,2026-03-02,2026-03-05,3.0,Qualification,1,Lost,Timing
OPP-00025,Mid-Market,Partner,Rep G,14610.81,2026-02-07,2026-03-19,40.0,Qualification,1,Lost,No Decision
OPP-00026,SMB,Outbound,Rep B,3264.86,2025-11-11,2025-11-20,9.0,Proposal,2,Lost,No Decision
OPP-00027,Mid-Market,Outbound,Rep F,20209.24,2026-04-19,2026-06-21,63.0,Proposal,2,Lost,No Budget
OPP-00028,Enterprise,Outbound,Rep G,66469.62,2026-03-04,2026-05-11,68.0,Qualification,1,Lost,Competitor
OPP-00029,Mid-Market,Partner,Rep H,9799.03,2025-11-08,2025-12-17,39.0,Negotiation,3,Won,
OPP-00030,SMB,Event,Rep A,3652.15,2025-11-14,,,Proposal,2,Open,
OPP-00031,SMB,Inbound,Rep A,2167.01,2026-04-12,2026-05-03,21.0,Negotiation,3,Won,
OPP-00032,Mid-Market,Event,Rep G,20215.46,2025-12-05,2026-01-17,43.0,Prospecting,0,Lost,Competitor
OPP-00033,Mid-Market,Inbound,Rep G,26338.0,2026-05-26,,,Negotiation,3,Open,
OPP-00034,Enterprise,Event,Rep G,68496.63,2026-02-08,2026-05-21,102.0,Negotiation,3,Won,
OPP-00035,Mid-Market,Outbound,Rep H,500.0,2026-03-18,2026-04-28,41.0,Negotiation,3,Won,
OPP-00036,SMB,Outbound,Rep G,5591.03,2026-01-18,2026-01-23,5.0,Proposal,2,Lost,Price
OPP-00037,Enterprise,Event,Rep G,126209.42,2026-03-17,2026-07-03,108.0,Proposal,2,Lost,No Budget
OPP-00038,SMB,Partner,Rep D,1232.54,2026-05-30,,,Negotiation,3,Open,
OPP-00039,SMB,Partner,Rep E,4096.16,2025-11-11,2025-11-16,5.0,Proposal,2,Lost,Timing
OPP-00040,Mid-Market,Event,Rep A,9484.08,2026-03-16,2026-04-19,34.0,Proposal,2,Lost,Competitor
OPP-00041,Mid-Market,Partner,Rep C,20897.23,2026-02-19,2026-04-29,69.0,Negotiation,3,Won,
OPP-00042,SMB,Inbound,Rep D,4269.88,2026-04-14,2026-04-27,13.0,Negotiation,3,Lost,Price
OPP-00043,SMB,Inbound,Rep F,2771.22,2026-06-23,2026-07-14,21.0,Negotiation,3,Lost,Competitor
OPP-00044,Enterprise,Partner,Rep E,85399.91,2026-01-31,2026-06-14,134.0,Negotiation,3,Won,
OPP-00045,Enterprise,Outbound,Rep D,14876.72,2026-01-20,,,Prospecting,0,Open,
OPP-00046,Mid-Market,Inbound,Rep D,6791.05,2025-12-22,2026-01-24,33.0,Prospecting,0,Lost,No Decision
OPP-00047,Enterprise,Inbound,Rep G,109568.38,2025-10-19,2026-01-26,99.0,Negotiation,3,Won,
OPP-00048,SMB,Inbound,Rep G,3295.16,2026-06-13,2026-07-07,24.0,Negotiation,3,Won,
OPP-00049,SMB,Inbound,Rep G,1055.29,2026-06-11,,,Proposal,2,Open,
OPP-00050,Mid-Market,Event,Rep A,25624.52,2025-10-10,2025-12-13,64.0,Negotiation,3,Won,
OPP-00051,Mid-Market,Partner,Rep G,18644.89,2025-11-12,2025-12-14,32.0,Negotiation,3,Won,
OPP-00052,SMB,Partner,Rep E,926.73,2026-03-25,,,Negotiation,3,Open,
OPP-00053,Enterprise,Partner,Rep D,63824.98,2026-05-11,2026-07-28,78.0,Proposal,2,Lost,No Budget
OPP-00054,SMB,Event,Rep B,2485.82,2026-04-28,2026-05-04,6.0,Prospecting,0,Lost,Competitor
OPP-00055,SMB,Outbound,Rep B,3104.07,2025-12-27,2026-01-15,19.0,Proposal,2,Lost,Competitor
OPP-00056,SMB,Inbound,Rep A,500.0,2025-10-11,2025-10-20,9.0,Negotiation,3,Won,
OPP-00057,SMB,Outbound,Rep C,2389.38,2026-04-08,2026-04-23,15.0,Proposal,2,Lost,Competitor
OPP-00058,Mid-Market,Inbound,Rep E,19561.56,2026-04-30,2026-07-05,66.0,Proposal,2,Lost,Timing
OPP-00059,SMB,Partner,Rep D,3918.73,2026-05-26,,,Qualification,1,Open,
OPP-00060,SMB,Inbound,Rep D,4403.32,2025-10-05,2025-10-08,3.0,Qualification,1,Lost,Price
OPP-00061,Mid-Market,Inbound,Rep B,500.0,2026-06-25,2026-07-31,36.0,Proposal,2,Lost,No Budget
OPP-00062,SMB,Outbound,Rep C,4186.21,2025-11-16,2025-12-06,20.0,Negotiation,3,Lost,Competitor
OPP-00063,Mid-Market,Event,Rep A,16660.59,2026-01-02,,,Negotiation,3,Open,
OPP-00064,SMB,Outbound,Rep G,2457.34,2026-06-25,,,Proposal,2,Open,
OPP-00065,SMB,Outbound,Rep B,4721.72,2025-10-26,2025-10-29,3.0,Proposal,2,Lost,No Budget
OPP-00066,Mid-Market,Partner,Rep E,10940.25,2025-12-24,2026-02-17,55.0,Negotiation,3,Lost,Timing
OPP-00067,Mid-Market,Event,Rep A,12725.31,2026-01-03,2026-02-01,29.0,Prospecting,0,Lost,Competitor
OPP-00068,Enterprise,Outbound,Rep D,116506.46,2025-10-05,2026-01-30,117.0,Qualification,1,Lost,No Budget
OPP-00069,SMB,Inbound,Rep B,1650.46,2026-07-08,2026-07-27,19.0,Negotiation,3,Lost,No Decision
OPP-00070,Mid-Market,Event,Rep E,10495.07,2026-04-02,2026-05-27,55.0,Proposal,2,Lost,No Decision
OPP-00071,Enterprise,Inbound,Rep G,148745.46,2025-10-11,2025-11-25,45.0,Negotiation,3,Lost,No Budget
OPP-00072,Enterprise,Outbound,Rep A,129605.65,2026-04-02,2026-06-17,76.0,Prospecting,0,Lost,No Budget
OPP-00073,SMB,Inbound,Rep G,3352.91,2026-05-20,2026-05-26,6.0,Negotiation,3,Lost,Price
OPP-00074,SMB,Outbound,Rep B,3048.16,2026-04-12,,,Negotiation,3,Open,
OPP-00075,SMB,Event,Rep E,1439.12,2026-01-14,2026-01-17,3.0,Proposal,2,Lost,Price
OPP-00076,SMB,Event,Rep F,1329.92,2026-01-05,2026-01-27,22.0,Negotiation,3,Lost,Price
OPP-00077,SMB,Inbound,Rep A,500.0,2026-06-19,2026-07-08,19.0,Negotiation,3,Won,
OPP-00078,SMB,Inbound,Rep E,3880.89,2026-02-07,2026-02-27,20.0,Proposal,2,Lost,No Decision
OPP-00079,Mid-Market,Outbound,Rep H,17428.89,2026-01-02,2026-01-21,19.0,Negotiation,3,Lost,No Budget
OPP-00080,Mid-Market,Inbound,Rep C,8782.19,2025-11-08,2026-01-04,57.0,Negotiation,3,Won,
OPP-00081,Mid-Market,Partner,Rep E,23717.43,2026-06-07,2026-07-31,54.0,Negotiation,3,Lost,Timing
OPP-00082,SMB,Outbound,Rep G,5247.56,2026-07-06,2026-07-20,14.0,Prospecting,0,Lost,No Decision
OPP-00083,SMB,Inbound,Rep A,1554.54,2026-03-02,2026-03-12,10.0,Negotiation,3,Won,
OPP-00084,SMB,Inbound,Rep B,4573.76,2025-12-01,2025-12-11,10.0,Proposal,2,Lost,Price
OPP-00085,SMB,Event,Rep B,2683.96,2026-01-07,2026-01-15,8.0,Negotiation,3,Lost,Price
OPP-00086,SMB,Inbound,Rep A,755.04,2025-12-07,2025-12-17,10.0,Prospecting,0,Lost,Competitor
OPP-00087,Mid-Market,Inbound,Rep E,16686.3,2025-10-03,2025-11-21,49.0,Negotiation,3,Won,
OPP-00088,SMB,Outbound,Rep A,4502.62,2026-03-14,2026-04-10,27.0,Negotiation,3,Won,
OPP-00089,Enterprise,Outbound,Rep D,71989.92,2025-11-30,2026-02-06,68.0,Proposal,2,Lost,No Decision
